,Genus,Species,Zones,Light,Moisture,Soil texture,Soil pH,Form,Height,Width,Root Span,Lifespan,Growth Rate,Native?,Edible?,Medicinal?,Nitrogen fixer?,Ground cover?,Dynamic Accumulator?,Nectary?,Cover crop?,Seed/stock Sources (see tab 2 for key),Local examples,Sources,Notes,Insects,Animals,,If Edible: Flavor Profile
Alfalfa,Medicago,Sativa,,,Drought tolerant,,6.8 – 7.5,herb,3' (1m),,49' (15m),annual,,,,,x,,,,x,,,BG,"Excellent cover crop. Used as hay for cows (especially milk), goats, sheep, and horses.","alfalfa weevil, aphids, armyworms, the potato leafhopper, alfalfa leafcutter bee"
Alpine Strawberry,Fragaria,Vesca 'Semperflorens',5,Some shade,Moist,"S, L, C",acid-neutral,shrub,,,,,,,fruit,,,x,,,,,,PFAF,"Tolerates heavy clay. Fruit is smaller than normal strawberries (1.5 cm) but abundant. Loses vigor after first few years. Likes pine needle mulch. Grows well with bush beans, spinach, borage, lettuce and pyrethrum"
Amaranth,Amaranthus,spp.,0,Full sun,Drought tolerant,,,,,,,,,,"seeds, leaves",,,,,,,"UWG, BG, SoC, JLHS",,"PFAF, AFCM",Hi protein. Drought-tolerant once established. Sown in late may/early june. Cuttings root easily. >1000 lbs grain/acre in upper midwest.
American Persimmon,Diospyros,Virginiana,4,Some shade,Moist,,,,,,,,,x,fruit,,,,,x,,OGW,,EFG
,Aronia,Melanocarpa,3,Some shade,Drought tolerant,"S, L, C",acid,,,,,,,,fruit,x,,x,,x,,"BRN, FF",,"EFG, BRN, PFAF","Somewhat drought-tolerant. Fruit is astringent, should be sweetened before eating. better after a frost or two. High in vitamin C, antioxidants, polyphenols, bioflavonoids, and tannins"
Arugula
Asparagus,Asparagus,officinalis,,Sun or shade,Moist,"S, L, C",6.5 or higher,"herb, large",5' ,3',,,,w coastal Europe,stalks,x,,,,,,,,PFAF,"Stalks are harvested in the spring and are a good source of protein and fiber. Can be eaten steamed, boiled, pickled, or raw in salads. A good companion plant for tomatoes, parsley and basil"
Austrian Winter Pea,Pisum,sativum,3,,,"S, L, C",,,,,,annual,,,Sprouts,,x,,,x,x,,,http://www.permaculture.org/nm/images/uploads/Enriching_Soil_Through_Cover_Cropping_by_Kate_Tieman.pdf,Good cold-season cover crop. Edible sprouts. Fixes nitrogen at 70-125 lbs/acre. Does well in heavy soils.
Bali Cherry,Prunus,Bali
Barberry,Berberis,Vulgaris,3,Some shade,Drought tolerant,v,,shrub,10',6',,,m,,berries,x,,,,,,,DBG,PFAF,"the 1/2 in fruit has a very acid flavor and is mainly used in preserves, though can be eaten raw when it is fully ripe."
"Barberry, Mexican/Red",Mahonia,Haematocarpa,,Full sun,Dry,"S, L",slightly acid,"shrub, large",20',,,,s - m,x,berries,,,,,,,HG,HG,PFAF,"Abundant red, tart berries are somewhat seedy. Thorny leaves - good as hedge. Fragrant flowers."
Beetberry,Chenopodium,capitatum,5,full sun,Drought tolerant,,,shrub,2',,,annual,,x,"Leaves, berries",,,,,,,SoC,R&R,"PFAF, SoC, Wiki","Self-seeding annual with edible leaves and small red berries. Like its relatives Quinoa and Lamb's Quarters, the leaves contain saponins and should be rinsed before eating."
Buckwheat,Fagopyrum,esculentum,2,full sun,moist,,"    Buckwheat apparently tolerates a wide range of soil pH (Bugg, pers. comm.).",,,,,,,,leaves and seed,,,,x,,x,BG,,BG,"Accumulates soluble phosphorus. Edible sprouts, seeds and flour. ""very fast-growing cover crop has low grain yield, but is tolerant of very cool temps, and is high in lysine. Widely used as a bee plant, green manure, ""nurse"" plant for seedlings, and to attract wildlife. Plant spring or late summer. Will grow on nearly any soil, but prefers light, well-drained soil.""",,,"not frost hardy plant after frost danger, plant will die as seeds mature,cut and dry in sun to let green seeds mature  then thresh."
Buffalo Grass,Buchloe,dactyloides,,,,,,,,,,annual
Buffaloberry 'Sakakaweja',Sheperdia,Argentia,2,Some shade,Drought tolerant,"S, L, C",,"shrub, l",15',15',,,s,x,berries,,x,,,,,OTC,,"OTC, PFAF",Currant-like yellow fruit. Thorns make fruit tough to harvest.
Bur oak,Quercus,Macrocarpus,,,,,,,,,,,,x,acorns,,,,,,,,,EFG
Burdock,Arctium,Lappa,,Some shade,Moist,,7 - 9,,,,,,,,root,x,,,,x,,BG,R&R,"PFAF, BG","excellent detoxifier. sow in spring or autumn 15 cm apart. self-sows. likes sandy soil. Burdock burs were also the inspiration to the inventor of Velcro fasteners, who became curious about the burs after taking his dog for a walk one day,  and finding them stuck in the dog’s fur afterward. By observing the hooked barbs on the burs, he was able to manufacture a product that  replicated Burdock’s ‘seizing’ qualities. “…early 1940’s George de Mestral, a Swiss inventor, became curious about the seeds of the burdock plant that had attached themselves to his clothes and to the dog’s fur. Under a microscope, he looked closely at the hook-and-loop system that  the seeds use to hitchhike on passing animals aiding seed dispersal, and he realized that the same approach could be used to join other things together. The result was Velcro."""
"Cherry, western sand",Prunus,Besseyi,3,Some shade,Drought tolerant,"S, L, C",,"Shrub, l",2-4',5-8',,,,x,fruit,,,,,,,,Monument,PFAF,Fruit up to 1 in. can be eaten raw or cooked. Shallow-rooted. Fruits best in full sun.
Chicory,Chicorium, Intybus,3,Some shade,Moist,,4.5 - 8.5,"herb, s-l",1-4',1-2',,,f,,"leaves, roots",,,,x,x,,JLHS,R&R,"EFG, JLHS","""The crisp, bitter leaves add flavor and bite to salads, and can be braised or boiled. The roots of all types can be dried and roasted, then ground for a coffee flavoring or substitute, or can be cooked and eaten like carrots or parsnips"""
Chinese Chestnut,Castanea,Mollissima,2,Full sun,Drought tolerant,,,"Tree, large",75',30',,100 yrs +,,,nuts (cooked),,,,,,,,,"EFG, PFAF","Very drought-tolerant once established, succeeds in a variety of soils. Produces abundant nuts that can be used as a staple crop when cooked."
Chinese Magnolia,Schisandra,Chinensis,4b,Full shade,Moist,,,,,,,,,,berry,,,,,,,"BRN, OGW",,"EFG, BRN, OGW","Lemony berries. Leaves can be used as tea. Does well in full shade. Drought intolerant - requires irrigation. The fully dormant plant is hardy to about 0 F, though the young growth in spring can be damaged by late frosts."
chinquapin,Castanea,Pumila,,,,,,Shrub,15',,,,s,,nuts,,,,,,,,,EFG,Succeeds in dry soils once established. Sweeter nuts than other chestnuts.
"Chokecherry, Canada Red",Prunus,Virginiana 'Shubert',2,Some shade,Moist,"S,L,C",,"shrub, large",,,,,,x,fruit,,,,,,,OTC,Mercury Cafe,,"Hardy to -40 F. Nomadic plains tribes pounded the dried berries and seeds into small, circular cakes. ""Processed into syrups and jellies, the flavor can be best described as tart cherry with a mellow almond flavor. Trees are adaptable to shade and grow in almost all types of soils and locations."" - OTC"
Comfrey,Symphytum,Ofiicinale,4,Some shade,Moist,"s,l,c",,"herb, large",3-5',3-5',,,f,,,x,,,x (phosphorous),x,x,,"CRMPI, R&R House, Monument","CRPMI, EFG, http://www.permaculture.org/nm/images/uploads/Enriching_Soil_Through_Cover_Cropping_by_Kate_Tieman.pdf","Permaculture all-star plant: cover crop, weed barrier, chicken feed, ""living mulch"", accumulates phosphorous, many medicinal uses, great compost activator"
Creeping Raspberry,Rubus,pentalobus,,Sun or shade,Drought tolerant,,slightly acidic,Shrub,6',indef,,perennial,,,berries,,,x,,,,,,"http://www.bigdipperfarm.com, http://davesgarden.com/guides/pf/go/81725/"
"Currant, alpine",Ribes,Alpinum,,,Drought tolerant,"(S, L) C",,"shrub, m"
"Currant, American Black",Ribes,Americanum,3,Some shade,Moist/Wet,"(S, L) C",,,,,,,,,berries,treatment of kidney diseases and menstrual and menopausal problems. Cree Indians used the fruit of Ribes glandulosum as a fertility enhancer to assist women in becoming pregnant.,,,,,,,,,http://plants.usda.gov/java/profile?symbol=RIAM2,Currants are used as food plants by the larvae of some Lepidoptera-Butterfly species.
"Currant, clove/buffalo",Ribes,Odoratum/Aureum,3b,Some shade,Drought tolerant,"(S, L) C",,,,,,,,x,berry,,,,,x,,"OTC, FF",Green Spaces,"FF, EFG, PFAF",OTC: one of the only currants that can be eaten raw. Best to have 2 plants for pollination. They appear to be self infertile. Hardy to -30 F. EFG: most drought-tolerant currant. PFAF: clove-scented flowers. ripens from late July and can hang on the bush until early autumn. Can also be dried for winter use.
"Currant, Golden",Ribes,Nigrum,,Some shade,Drought tolerant,"(S, L) C",,shrub,,,,,,x,berries,Currant root and seeds are high in gamma-Linolenic acid (GLA). GLA has been clinically verified as an effective treatment for pre-menstrual syndrome. [1],,,,,,BG,,BG,somewhat drought-tolerant
Dandelion,Taraxacum,officinale,,,,,,,,,,,,,,,,,,,,,Monument
Dwarf chestnut oak,Quercus,Prinoides,,,,,,,,,,,,x,acorns,,,,,,,,,EFG
